,created_at,full_text,cleaned_text,retweeted_count,favorite_count,user
44,Fri Apr 10 06:10:45 +0000 2020,"Une très belle journée de Liège centre du monde 
P.P.P. Pensée Positive Permanente ❤️ https://t.co/bLn7mjMfIZ",Une tres belle journee de Liege centre du monde PPP Pensee Positive Permanente [],0,0,CedricMarchandi
45,Thu Apr 09 18:47:45 +0000 2020,"« Welcome back #Samakfish »

#food #fish #Liege #commercelocal 
#cuisinepourcinq #fishsticks à SamakFish https://t.co/USVWhREI63",<< Welcome back Samakfish >> food fish Liege commercelocal cuisinepourcinq fishsticks a SamakFish,0,0,QuentinleBussy
46,Thu Apr 09 18:35:51 +0000 2020,Un restaurant fermé propose des plats à emporter. - RTC T�l� Li�ge https://t.co/bBu5jNnQtG via @RTC_Tele_Liege,Un restaurant ferme propose des plats a emporter - RTC Tl Lige via RTC Tele Liege,0,0,moncoeur1971
47,Thu Apr 09 18:31:27 +0000 2020,"J-M Namotte: «On devra tirer des enseignements de cette crise, redessiner des accords entre les interlocuteurs sociaux, relocaliser une série d’entreprises, consommer autrement, renforcer la sécurité sociale…"" https://t.co/HqP4inpDss via @lavenir_net","J-M Namotte <<On devra tirer des enseignements de cette crise, redessiner des accords entre les interlocuteurs sociaux, relocaliser une serie d'entreprises, consommer autrement, renforcer la securite sociale"" via lavenir net",3,8,CscLiege
48,Thu Apr 09 17:34:40 +0000 2020,"#beauxartsliegeois #maitresdelapeinture #mescimaises
José Delhaye, Pandore, d'après Drouot Paris, Maison Lhomme Liège, Artprice et l'iconographie Google https://t.co/tBM2Giapxx","beauxartsliegeois maitresdelapeinture mescimaises Jose Delhaye, Pandore, d'apres Drouot Paris, Maison Lhomme Liege, Artprice et l'iconographie Google",0,0,CorneilleJean
49,Thu Apr 09 14:59:04 +0000 2020,3 millions de masques FFP2 arrivés à Liège sont inutilisables https://t.co/n3O2N8C4pk https://t.co/uJaQpHsubo,3 millions de masques FFP2 arrives a Liege sont inutilisables,1,2,lameuseliege
50,Thu Apr 09 14:30:56 +0000 2020,Beaucoup trop de monde dans le Quartier Saint-Leonard #liege qui font causette 😤😡😢... On reste chez soi et on tient bon!  @PolicedeLiege @Willy_Demeyer,Beaucoup trop de monde dans le Quartier Saint-Leonard liege qui font causette On reste chez soi et on tient bon PolicedeLiege Willy Demeyer,0,1,fabienneiudi
51,Thu Apr 09 14:30:12 +0000 2020,5 millions € de la province de Liège pour la première ligne https://t.co/e7GLFHtGXU https://t.co/aehIGWygwc,5 millions EUR de la province de Liege pour la premiere ligne,1,3,lameuseliege
52,Thu Apr 09 13:09:16 +0000 2020,Liège envisage de lancer des «Journées du Matrimoine» pour mettre en valeur les réalisations et le patrimoine historique que l’on doit aux femmes https://t.co/JAohCTW4YR,Liege envisage de lancer des <<Journees du Matrimoine>> pour mettre en valeur les realisations et le patrimoine historique que l'on doit aux femmes,0,1,LaMeuse_be
53,Thu Apr 09 12:36:46 +0000 2020,COVID-19 Vers une fin d’année prolongée pour les universités et Haute école ? - RTC T�l� Li�ge https://t.co/F8gePSSiq9 via @RTC_Tele_Liege,COVID-19 Vers une fin d'annee prolongee pour les universites et Haute ecole - RTC Tl Lige via RTC Tele Liege,0,0,moncoeur1971
54,Thu Apr 09 12:30:54 +0000 2020,"@cecile_pt @BenoitHellings A #liege, on strie des bandes condamnées pour les autos et on rénove tarmac, éclairage,... sans penser les utiliser pour le cyclable alors que c'est un chaînon manquant pour relier deux points majeurs.","cecile pt BenoitHellings A liege, on strie des bandes condamnees pour les autos et on renove tarmac, eclairage, sans penser les utiliser pour le cyclable alors que c'est un chainon manquant pour relier deux points majeurs",0,1,Niala_V
55,Thu Apr 09 11:45:38 +0000 2020,"Envie de vagabonder dans Liège le long de la meuse, avec une gordon 12 12 et un spliff https://t.co/6UiFsm5X02","Envie de vagabonder dans Liege le long de la meuse, avec une gordon 12 12 et un spliff",0,1,qdsvms
56,Thu Apr 09 11:38:57 +0000 2020,ℹ️😷 Les infirmier.e.s à domicile (indépendant.e.s ou salarié.e.s et domicilié.e.s sur le territoire de la @Ville de Liège) qui n’ont pu venir à la distribution de masques hier peuvent venir les retirer à l'accueil de l’Hôtel de Ville. Voir publication sur https://t.co/8Wu8ylPWtv,i[] Les infirmieres a domicile (independantes ou salariees et domiciliees sur le territoire de la Ville de Liege) qui n'ont pu venir a la distribution de masques hier peuvent venir les retirer a l'accueil de l'Hotel de Ville Voir publication sur,3,7,VilledeLiege
57,Thu Apr 09 11:35:08 +0000 2020,"Liège: Neerdael a été libéré, il attend son jugement à la maison https://t.co/rxx9RGvrVT https://t.co/fdgCziXqvC","Liege Neerdael a ete libere, il attend son jugement a la maison",0,0,lameuseliege
58,Thu Apr 09 10:36:02 +0000 2020,Les supporters du RFC Liège ont rassemblé 55.000€ dans le cadre de l’action «Liège-Sur-Vivra»: ils vont offrir un respirateur à la Citadelle https://t.co/UWcZlfUlsU,Les supporters du RFC Liege ont rassemble 55000EUR dans le cadre de l'action <<Liege-Sur-Vivra>> ils vont offrir un respirateur a la Citadelle,0,4,LaMeuse_be
59,Thu Apr 09 10:31:41 +0000 2020,"@l_pezzin Ils attendent quoi pour foutre des amendes ? Putain même a Liège. Ça me casse les couilles d'être ""dans les seuls"" qui respectent le confinemenr","l pezzin Ils attendent quoi pour foutre des amendes Putain meme a Liege Ca me casse les couilles d'etre ""dans les seuls"" qui respectent le confinemenr",0,2,Warren21617840
60,Thu Apr 09 10:14:02 +0000 2020,Coronavirus: le CHU de Liège valide les tests de dépistage rapide de la société liégeoise ZenTech https://t.co/24nZt9FjHR,Coronavirus le CHU de Liege valide les tests de depistage rapide de la societe liegeoise ZenTech,2,3,LaMeuse_be
61,Thu Apr 09 09:37:37 +0000 2020,"On répond à la commune de Saint-Nicolas qui s’oppose à l’ouverture d’un centre d’accueil de demandeur•ses d’asile. 👇👇👇
#Liège #SaintNicolas 
https://t.co/hvSObIzUw2",On repond a la commune de Saint-Nicolas qui s'oppose a l'ouverture d'un centre d'accueil de demandeur*ses d'asile Liege SaintNicolas,0,0,MigLibres
